#UID	CUI
2	C0000039
5	C0000107
7	C0000173
10	C0000254
12	C0000364
13	C0000392
14	C0000399
15	C0000403
18	C0000481
20	C0000503
21	C0000544
22	C0000546
25	C0000578
26	C0000610
29	C0000666
34	C0000731
35	C0000771
39	C0000786
44	C0000810
45	C0000817
46	C0000820
47	C0000821
48	C0000823
49	C0000832
54	C0000889
65	C0000949
66	C0000951
68	C0000968
69	C0000974
79	C0001049
80	C0001050
84	C0001079
86	C0001097
89	C0001120
90	C0001126
91	C0001127
94	C0001134
95	C0001144
96	C0001157
97	C0001159
98	C0001169
99	C0001175
101	C0001187
103	C0001231
109	C0001275
113	C0001311
114	C0001344
116	C0001363
120	C0001413
121	C0001416
122	C0001418
123	C0001420
124	C0001429
125	C0001430
126	C0001442
127	C0001443
133	C0001480
134	C0001487
137	C0001517
138	C0001519
149	C0001577
152	C0001590
154	C0001614
155	C0001621
158	C0001648
160	C0001717
161	C0001727
166	C0001748
168	C0001768
169	C0001787
172	C0001801
174	C0001816
175	C0001818
177	C0001849
182	C0001916
185	C0001937
186	C0001962
193	C0002016
194	C0002020
195	C0002025
196	C0002027
202	C0002073
207	C0002144
212	C0002158
213	C0002171
215	C0002191
217	C0002238
220	C0002258
223	C0002272
227	C0002328
229	C0002351
231	C0002362
232	C0002364
238	C0002444
240	C0002452
249	C0002511
250	C0002520
252	C0002525
254	C0002534
257	C0002556
260	C0002605
261	C0002615
264	C0002624
265	C0002636
266	C0002658
269	C0002686
272	C0002726
274	C0002736
276	C0002765
278	C0002800
280	C0002823
283	C0002875
284	C0002882
285	C0002883
286	C0002893
287	C0002895
288	C0002897
294	C0002938
295	C0002963
296	C0002965
297	C0002989
300	C0003036
312	C0003113
314	C0003119
315	C0003123
316	C0003125
317	C0003144
319	C0003166
321	C0003174
323	C0003191
324	C0003204
325	C0003205
326	C0003211
331	C0003259
334	C0003295
335	C0003302
336	C0003304
337	C0003314
339	C0003318
345	C0003370
346	C0003385
349	C0003404
350	C0003417
351	C0003433
354	C0003440
355	C0003449
356	C0003451
357	C0003458
358	C0003460
359	C0003462
360	C0003463
361	C0003469
362	C0003486
364	C0003511
365	C0003516
369	C0003546
379	C0003650
381	C0003663
382	C0003664
383	C0003674
384	C0003676
388	C0003721
389	C0003723
391	C0003751
392	C0003753
398	C0003813
399	C0003815
401	C0003825
402	C0003830
406	C0003868
411	C0003921
416	C0003962
419	C0003975
420	C0003977
424	C0003993
428	C0004031
437	C0004099
438	C0004114
439	C0004135
445	C0004238
446	C0004260
452	C0004334
455	C0004366
465	C0004466
466	C0004468
467	C0004475
468	C0004483
481	C0004609
482	C0004610
484	C0004626
491	C0004659
495	C0004698
498	C0004712
504	C0004771
518	C0004921
520	C0004930
525	C0004991
526	C0005014
527	C0005025
528	C0005035
529	C0005038
535	C0005076
540	C0005099
543	C0005122
544	C0005134
545	C0005137
550	C0005220
556	C0005287
558	C0005308
559	C0005317
560	C0005320
561	C0005324
563	C0005367
565	C0005424
571	C0005461
577	C0005522
584	C0005578
585	C0005587
586	C0005592
594	C0005695
595	C0005697
597	C0005716
598	C0005741
599	C0005747
600	C0005750
604	C0005779
605	C0005789
609	C0005806
610	C0005818
612	C0005830
622	C0005874
626	C0005904
